Date, Open, High, Low, Close, Adj, Volume
Apr 24 2018,1659.74,1671.67,1687.92,1638.58,8.31M,-0.67%
Apr 23 2018,1671.01,1678.54,1744.18,1661.65,15.19M,0.18%
Apr 20 2018,1667.97,1593.24,1677.73,1588.33,18.47M,6.62%
Apr 19 2018E,1564.39,1558.87,1577.16,1551.93,4.82M,1.02%
Apr 18 2018,1548.67,1552.06,1565.51,1542.18,2.43M,-0.24%
Apr 17 2018,1552.35,1562.67,1566.25,1542.84,3.30M,-0.66%
Apr 16 2018,1562.67,1527.55,1568.70,1524.97,6.27M,1.09%
Apr 13 2018,1545.83,1544.21,1588.73,1535.44,8.18M,0.45%
Apr 12 2018,1538.94,1475.58,1544.21,1474.58,6.11M,4.15%
Apr 11 2018,1477.62,1446.46,1482.94,1444.01,3.12M,2.61%
Apr 10 2018,1440.09,1434.26,1449.72,1434.26,1.18M,0.47%
Apr 09 2018,1433.37,1441.12,1452.79,1429.01,1.24M,-0.90%
Apr 06 2018,1446.32,1448.13,1451.07,1434.67,1.13M,-0.26%
Apr 05 2018,1450.07,1434.67,1452.91,1431.63,1.81M,1.62%
Apr 04 2018,1427.00,1436.09,1438.32,1417.74,2.84M,-0.01%
Apr 03 2018,1427.17,1417.78,1436.31,1417.78,1.94M,0.05%
Apr 02 2018,1426.39,1392.24,1428.52,1392.24,1.66M,2.12%
Mar 28 2018,1396.73,1390.23,1409.40,1384.89,6.87M,0.05%
Mar 27 2018,1396.02,1384.89,1403.52,1383.93,2.49M,1.09%
Mar 26 2018,1380.97,1381.95,1386.07,1363.59,2.96M,-0.04%
Mar 23 2018,1381.53,1373.61,1389.35,1371.68,3.65M,-0.47%
Mar 22 2018,1388.00,1402.02,1409.87,1383.69,2.33M,-0.89%
Mar 21 2018,1400.45,1408.18,1413.96,1397.15,3.91M,-0.28%
Mar 20 2018,1404.43,1382.44,1408.52,1381.95,4.02M,1.20%
Mar 19 2018,1387.83,1386.85,1396.17,1382.44,3.49M,0.19%
Mar 16 2018,1385.23,1406.36,1407.93,1375.09,7.20M,-1.53%
Mar 15 2018,1406.80,1419.21,1422.91,1399.89,2.35M,-0.60%
Mar 14 2018,1415.23,1418.20,1432.96,1409.43,3.67M,0.00%
Mar 13 2018,1415.19,1433.86,1441.12,1407.93,88.07M,-5.42%
Mar 12 2018,1496.24,1491.76,1511.81,1488.08,2.09M,0.59%
Mar 09 2018,1487.40,1473.13,1501.66,1459.50,1.87M,1.00%
Mar 08 2018,1472.62,1497.59,1497.59,1464.55,1.95M,-0.78%
Mar 07 2018,1484.14,1505.00,1514.31,1479.75,1.92M,-0.50%
Mar 06 2018,1491.66,1530.49,1532.94,1485.46,1.91M,-2.03%
Mar 05 2018,1522.57,1494.70,1526.39,1486.83,2.86M,2.24%
Mar 01 2018,1489.16,1494.70,1500.68,1480.48,1.72M,0.09%
Feb 28 2018,1487.86,1487.84,1502.03,1481.19,2.71M,-0.24%
Feb 27 2018,1491.44,1490.78,1509.19,1486.37,1.72M,0.35%
Feb 26 2018,1486.22,1507.45,1514.78,1481.07,1.36M,-1.43%
Feb 23 2018,1507.84,1495.19,1514.31,1466.81,3.36M,0.84%
Feb 22 2018,1495.29,1496.17,1509.41,1481.71,3.46M,0.26%
Feb 21 2018,1491.42,1457.93,1501.37,1451.09,3.09M,3.31%
Feb 20 2018,1443.59,1435.38,1463.35,1435.33,1.89M,0.72%
Feb 19 2018,1433.23,1443.72,1447.79,1419.30,1.57M,-0.32%
Feb 16 2018,1437.86,1432.93,1470.48,1432.93,2.52M,0.25%
Feb 15 2018,1434.33,1437.32,1442.74,1424.16,2.47M,0.48%
Feb 14 2018,1427.44,1455.97,1458.15,1417.98,2.85M,-1.87%
Feb 12 2018,1454.65,1460.04,1482.13,1448.89,1.97M,-0.15%
Feb 09 2018,1456.81,1446.17,1467.74,1420.01,2.10M,-0.08%
Feb 08 2018,1458.03,1460.75,1484.21,1450.58,2.76M,0.65%
Feb 07 2018,1448.64,1483.92,1485.88,1444.92,2.18M,-1.41%
Feb 06 2018,1469.33,1475.58,1508.50,1463.33,2.66M,-3.41%
Feb 05 2018,1521.27,1524.60,1562.84,1508.35,2.76M,-1.60%
Feb 02 2018,1546.00,1529.51,1563.82,1521.39,2.46M,0.48%
Feb 01 2018,1538.62,1531.47,1563.82,1514.21,2.40M,0.84%
Jan 31 2018,1525.76,1537.84,1544.21,1519.02,3.04M,-1.28%
Jan 30 2018,1545.61,1558.92,1570.59,1541.13,1.57M,-1.44%
Jan 29 2018,1568.16,1535.10,1580.98,1530.49,3.14M,2.49%
Jan 25 2018,1530.02,1556.47,1558.82,1510.39,3.83M,-1.69%
Jan 24 2018,1556.27,1514.80,1597.67,1511.20,5.62M,2.34%
Jan 23 2018,1520.68,1527.03,1540.46,1514.82,3.24M,-0.46%
Jan 22 2018D,1527.74,1451.56,1536.71,1432.44,4.37M,5.31%
Jan 19 2018,1450.73,1436.63,1461.86,1423.45,1.82M,1.41%
Jan 18 2018,1430.58,1420.19,1437.83,1405.99,2.21M,1.01%
Jan 17 2018,1416.24,1406.95,1433.91,1403.10,4.28M,1.34%
Jan 16 2018,1397.56,1351.06,1402.86,1348.39,4.27M,3.81%
Jan 15 2018,1346.21,1361.43,1376.56,1340.79,1.46M,-1.09%
Jan 12 2018,1361.04,1375.09,1375.09,1343.49,3.36M,-0.51%
Jan 11 2018E,1367.98,1377.54,1383.37,1363.91,2.52M,-0.57%
Jan 10 2018,1375.87,1329.00,1380.48,1320.99,3.37M,3.60%
Jan 09 2018,1328.02,1330.96,1333.91,1312.12,2.15M,-0.20%
Jan 08 2018,1330.67,1323.61,1336.77,1314.71,1.24M,0.94%
Jan 05 2018,1318.32,1299.10,1323.37,1299.10,1.15M,1.21%
Jan 04 2018,1302.58,1299.10,1304.98,1294.20,913.08K,0.70%
Jan 03 2018,1293.54,1290.28,1308.41,1289.88,1.26M,0.28%
Jan 02 2018,1289.88,1304.00,1308.71,1284.49,1.92M,-0.54%
Jan 01 2018,1296.94,1314.93,1321.06,1291.75,1.35M,-2.06%
Dec 29 2017,1324.20,1285.91,1327.97,1283.68,2.61M,2.83%
Dec 28 2017,1287.80,1278.90,1300.82,1277.36,2.61M,0.27%
Dec 27 2017,1284.34,1298.83,1303.27,1279.74,739.28K,-1.12%
Dec 26 2017,1298.83,1316.75,1318.59,1290.08,2.18M,0.10%
Dec 22 2017,1297.51,1276.55,1305.91,1269.78,3.67M,1.97%
Dec 21 2017,1272.48,1268.22,1278.51,1264.81,1.29M,0.26%
Dec 20 2017,1269.17,1265.76,1271.03,1250.40,1.58M,0.53%
Dec 19 2017,1262.48,1262.82,1273.51,1257.28,1.80M,-0.20%
Dec 18 2017,1265.03,1243.70,1269.17,1222.80,2.18M,1.37%
Dec 15 2017,1247.92,1256.82,1266.97,1243.63,2.72M,-0.48%
Dec 14 2017,1253.90,1290.28,1290.28,1240.81,5.50M,-2.69%
Dec 13 2017,1288.51,1280.18,1299.81,1275.08,2.96M,0.62%
Dec 12 2017,1280.55,1304.49,1304.98,1278.22,1.88M,-1.84%
Dec 11 2017,1304.54,1278.68,1310.20,1278.68,1.01M,2.29%
Dec 08 2017,1275.32,1283.41,1296.65,1273.12,1.39M,-0.60%
